,source_id,ra,dec,parallax,phot_g_mean_mag,bp_rp,teff_gspphot,logg_gspphot,mh_gspphot,pm,radial_velocity,lum_flame,radius_flame,mass_flame,mag
3895,141597615686687360,41.650085142894596,36.851141326834316,2.7039278172709182,17.486055,2.4708042,3574.2092,4.723,-0.5132,4.72251,,0.031771917,0.46339718,,9.646030842706224
3896,141614868571406848,41.39987409702263,37.07019079276248,1.984833035659156,13.814111,0.90993214,5628.797,4.5338,-0.2799,2.49046,-36.669945,0.6239992,0.8410608,,5.3027297009617556
3897,141621774878831488,41.72454584409109,36.92415755051188,0.8418638161852118,13.502217,0.6785097,6505.32,4.0676,-0.1927,4.574987,-7.0530043,4.505859,1.6685272,1.3571262,3.1284255575197655
3898,141626653961769472,42.07004180230484,37.07694500131056,13.182591172954908,14.791449,3.0289469,,,,82.72417,-14.680549,,,,10.391452511467147
3899,141635342679699456,41.7019844614459,37.06442730442988,3.657039242689277,18.388779,2.864111,3177.2427,4.9688,-0.0412,13.577379,,,,,11.20442678981602
3900,141636240328658688,41.62711563335006,37.0965914891593,0.737465382633326,14.222716,0.9436178,5329.392,4.0972,-0.1819,5.253733,-38.78996,2.6384122,1.9120461,1.0451295,3.5614254797009632
3901,141637507342149248,41.781645921529524,37.152906613561356,1.695753609711499,12.104716,0.69215965,6331.0503,4.1047,-0.1931,15.940098,-8.055343,3.984516,1.6597497,1.3101239,3.251531005691998
3902,141638576790847104,41.76276271991762,37.19130800040914,1.9832215283110455,13.216654,0.98641014,5119.8433,4.1994,-0.7981,24.982193,-54.192627,1.0262023,1.2860371,,4.703509964595559
3903,141644108708851200,41.87502127220768,37.244285218102235,2.2372455587292737,13.937936,1.0679188,5159.868,4.5103,-0.0813,18.863033,24.883083,0.45223293,0.84159434,0.82220495,5.686503148560295
3904,141647750840946048,41.92549179131002,37.42448607456911,2.62209216796128,15.668556,1.8048468,4203.7393,4.6551,0.1675,7.36098,,0.1272767,0.6658814,,7.761795979923223
3905,141650774497921664,41.900809667999646,37.434219854277316,1.5059135867434759,9.005316,-0.01557827,11214.364,3.8152,-1.066,3.6080766,,167.44647,3.3875635,3.2447367,-0.10568396122287105
3906,141660635743259008,41.13725349171172,37.103636961801534,1.6790809114596166,11.601574,0.33903503,8044.883,4.1381,-0.4241,3.7575433,-22.399824,7.483022,1.4093529,1.6752847,2.726932066097623
3907,141663625040145280,41.366758352093534,37.11716402531037,1.210691446805525,12.654412,0.84852123,5639.468,4.0401,-0.4491,9.506666,-58.349037,4.560446,2.2403402,1.2651849,3.0695786871902957
3908,141665579248929792,41.217914123640725,37.102631642541226,0.42548488269593554,12.563085,1.1962538,,,,2.269392,-35.592205,,,,0.7075043206275957
3909,141674036040707072,41.034737640554845,37.211629021101764,1.18817941839562,14.034197,0.8167286,5756.9365,4.3031,-0.8273,21.070082,-111.35341,1.329535,1.1573834,0.97488934,4.40860697999393
3910,141680426952547328,41.14049968009862,37.295260795968595,1.660921913335311,13.741099,0.84939575,5831.1724,4.3988,-0.456,17.09596,5.8522086,0.925412,0.94432807,1.0512476,4.8428463862251405
3911,141680564390972672,41.161909128331,37.31718549290857,0.7086757542088166,15.110178,0.71821785,6382.962,4.3674,-1.9382,45.963444,,1.6140301,1.028134,,4.362415866672968
3912,141683278810309888,41.05865352884678,37.30932519013894,2.8240451672114997,16.761326,2.2561255,3743.7024,4.7279,-0.0553,9.477475,,0.052860096,0.54654706,0.5434331,9.015684028452018
3913,141685374754867328,41.127303299675475,37.394311101894985,2.21387296722749,11.466246,0.6795721,6322.7593,3.949,-0.2993,19.345417,-21.869831,4.170489,1.7029363,1.3226655,3.192009137718985
3914,141689944599699328,41.54600094309475,37.29289234702992,1.3577537955366197,14.182052,0.93939114,5292.8003,4.3708,-0.2834,8.563808,-46.197918,0.8376028,1.0896661,,4.8461577398850775
3915,141691731306071040,41.56651823308004,37.41595136615261,1.1537815138438814,11.896261,0.7424574,,,,10.348135,-10.987021,,,,2.2068790967626377
3916,141692998320138240,41.36923700477725,37.336788485193885,1.12275292608745,11.9648075,1.1577034,5019.288,3.2097,-0.2058,12.857295,-39.75101,11.976565,4.602537,1.6200428,2.216228488288115
3917,141698053497917056,41.68015335934726,37.48333650830651,1.1146141520337838,15.147461,1.0155191,5416.0107,4.5936,-0.1953,13.094888,,0.56364334,0.85751987,0.9105348,5.383083702028422
3918,141700046362728448,41.68948877968883,37.56988571780628,1.6431734444121266,13.799766,0.94004536,5216.1147,4.2943,-1.178,17.650043,12.254379,0.86172754,1.137586,0.8802907,4.878183578565299
3919,141700836636726016,41.60191304400005,37.49725439951445,1.150090442204252,14.324294,0.8079796,5827.3193,4.3883,-0.3701,1.9563379,-29.929604,1.0530887,1.0033138,1.0331584,4.627955015303719
3920,141712312789181312,41.35836024095467,37.622630232351895,2.4073083636693537,14.68765,1.3031492,4693.9204,4.5584,-0.0723,7.2172403,-37.354317,0.2341608,0.73042077,0.7446992,6.5953073966964375
3921,141715229070675968,41.42108310805312,37.63094541413677,2.9909416273042275,17.458733,2.3535194,3501.7993,4.7275,-0.4063,19.920164,,0.025613515,0.42063588,,9.8377722910213
3922,141715954921432448,41.49675664011493,37.718704583024774,1.6839577487393615,16.686373,1.7530766,4208.859,4.6425,0.0035,8.846194,,0.11291535,0.6326566,0.66150165,7.818028710235945
3923,141716637819613440,41.62892046320715,37.70418542939532,0.5340031540437744,11.969202,1.4127483,4757.172,2.7554,0.1915,3.6370506,-41.62552,66.30921,11.985312,3.2019205,0.6069211524219575
3924,141718974284022016,41.46630001445123,37.730562508923875,2.661214124029894,12.355792,0.8011732,5741.566,4.3548,-0.3359,8.055629,-11.841027,1.2036808,1.1097629,0.9706437,4.481192097960964
3925,141720593486106880,41.50167543908588,37.77234720853713,0.8714608402148677,13.938496,0.73803043,5949.309,3.8625,-0.5035,3.478795,-39.540173,2.495171,1.476694,1.105952,3.639735018570958
3926,141736845643049344,42.32328035152592,37.56502701274966,0.7888519474148828,13.612369,0.7625694,5850.89,3.8714,-0.463,5.202022,4.0177083,4.026403,1.9382446,1.1925185,3.097347047353919
3927,141737361039130368,42.23658897746923,37.55265387472695,4.230377191776496,18.003239,3.0190678,3204.4219,4.8914,0.1754,85.19663,,0.010892714,0.33422282,,11.135134137789853
3928,141748493594137344,42.012697795508295,37.66093179605048,9.443849445900248,15.974024,2.5162258,3476.4827,4.9496,-0.5724,29.097437,,0.010291451,0.2833491,,10.849769093608039
3929,141748562313613312,42.00835186859039,37.66385317783092,1.5110360378060235,13.661394,0.83664894,5936.9595,4.3979,-0.1526,1.8551177,-10.5616865,1.1699702,1.0210093,1.0778061,4.557768230612549
3930,141750452099439360,42.13059245752796,37.628922379250355,1.2019198957702788,15.814029,1.153245,4756.1455,4.4851,-0.4938,18.563112,,0.26567358,0.7574644,0.7657423,6.213407314864728
3931,141752754201880704,42.23381797371306,37.73989518217255,0.866046150250723,13.735821,0.7483158,6089.8145,4.0813,-0.5747,2.9373708,-30.529858,3.1984756,1.6271629,1.2318318,3.423525947816879
3932,141752788561612800,42.248483517251366,37.76118641864358,0.8787379812399868,14.505295,0.8372383,5852.2715,4.1205,-0.2704,9.455925,14.888102,1.5227587,1.1963164,1.023647,4.224591790274966
3933,141756117160914560,42.182699332800354,37.80206851880149,1.0557220022908902,14.934074,1.0383301,5192.6523,4.4341,0.3524,5.0380535,,0.7335827,1.0549102,,5.0518222657344545
